שם מלא,תפקיד,רקע מקצועי
משה לכיש,"מנהל מחלקת נוער, מרכז לבריאות הנפש- באר שבע","מנהל את מחלקת הנוער במרכז לבריאות הנפש בבאר שבע. קודם לכן אחראי על מרפאת ילדים ונוער, על מרכז מילשטיין לטיפול בטראומה בילדים ונוער ועל מערך הייעוצים בילדים במרכז הרפואי האוניברסיטאי סורוקה. בוגר בית ספר לרפואה באוניברסיטת בן גוריון ומומחה בפסיכיאטריה של הילד והמתבגר. חבר סגל הוראה ומדריך קליני בבית ספר לרפואה בבן גוריון. פעיל בתחום הוראת סטודנטים לרפואה ומתמחים ובמשך תקופה ארוכה הייתי ממרכזי קורס הבאלינט לסטודנטים. חבר ועד חוג הבאלינט הישראלי."
חנה ללוש,מנהלת האגף לחינוך יסודי משרד החינוך,"חנה מנהלת את האגף לחינוך יסודי, במסגרת תפקידה אחראית על בתי הספר היסודים במשרד החינוך. לאורך כל הקריירה המקצועית שלה, ביצעה חנה תפקידים רבים ומגוונים החל ממחנכת כיתה ביסודי, מחנכת ומדריכה בבתי הספר העל יסודיים , סגנית במתי״א אשדוד ומנהלת בית ספר יסודי ממלכתי שזר באשדוד. ב-11 השנים האחרונות חנה שמשה בתפקיד מפקחת כוללת בתי ספר יסודים במחוז דרום ומרכזת את גיל היסודי במחוז."
שורי למברגר,מפקחת ארצית בפתחיה - מוסדות לחינוך מיוחד,"שורי היא מפקחת ארצית בפתחיה - מוסדות לחינוך מיוחד. במסגרת תפקידה היא מובילה כ-260 אנשי צוות, מתווה מודלים מתקדמים של חינוך ובונה תוכניות לימודיות. בין השאר היא עובדת מול ממשקים כגון משרד החינוך, עיריות, שפ""ח ועוד."
אבי לנגבהיים,שותף ומנהל החטיבה הציבורית בחברת הייעוץ OD CONSULTING,"אבי משמש כשותף ומנהל החטיבה הציבורית בחברת הייעוץ OD CONSULTING. בתפקידו הקודם ניהל את מפעם גליל מערבי, זרוע השטח של משרד הפנים להדרכה ופיתוח ארגוני. במסגרת תפקיד זה היה אמון על ליווי 65 רשויות במרחב המפעם, שרבות מתוכן משויכות לחברה הערבית והדרוזית ומלוות בתהליכי שינוי ארגוני משמעותיים בהיקפי תקציב של מעל 90 מיליון ₪. בנוסף, כמפעם מתמחה הוביל ברמה הארצית יחד עם משרד הפנים את פיתוח התורה וההטמעה של עולם התכנון השנתי ברשויות המקומיות ותחומי ידע נוספים כגון צעירים יחד משרד הנגב והגליל ורישוי עסקים ואכיפה. קודם לכן כיהן במשך שש שנים כמנהל פרויקט ארצי בקרן קציר מיסודה של קרן רש""י והיה אמון על ליווי והשמה של 3,000 מלגאים במעל 32 מוסדות אקדמיים בארץ תוך ניהול השותפות עם מוסדות אלו ועם קרן עורק הומניטי. בנוסף, כיהן כשלוש שנים כמנחה מקצועי בג'וינט אלכא בתחום התנדבות הנוער בתקופת מלחמת לבנון השנייה. טרם לכן, כסטודנט, התגורר בקריית שמונה והיה שותף להקמת כפרי סטודנטים מטעם עמותת איילים בקריית שמונה, עכו ונווה אור. העשייה החברתית והציבורית ככלל, ולמען הפריפריה החברתית והגיאוגרפית ותושביה בפרט, ניצבת עבורו כשליחות וכמשימת על."
שלומית לנדס,ראש חטיבת החקירות במשטרת ישראל,"שלומית היא אחראית על תחום החקירות ביחידה הארצית למאבק בפשיעה כלכלית במשטרת ישראל. במסגרת תפקידה היא אחראית על מפלגי חקירות בתחומי המקרקעין, התשתיות, המשאבים הלאומיים, תאונות עבודה, עבירות כלכליות, שחיתות ציבורית ועוד ומפקדת על כ-150 חוקרים. קודם לכן שימשה כסגנית ראש היחידה הארצית לחקירות הונאה (יאח""ה) העוסקת בחקירת שחיתות ציבורית בדרגים הגבוהים במדינה. במהלך שנות שירותה במשטרה שימשה שלומית בתפקידי מטה שונים והייתה שותפה בגיבוש מדיניות חקירות ומודיעין ובקידום תהליכים וחקיקה שנועדו לשפר את עבודת המשטרה  למען הציבור."
קמילה מילנר לנדסקינד,"מנהלת אגף ללימודים קדם, חוץ והמשך אקדמיים במכללה האקדמית ספיר","קמילה החלה את דרכה בספיר כאחראית על תחום העולים במשרד הדיקן. ייסדה וניהלה את היחידה למעורבות חברתית במכללה האקדמית ספיר. כחלק מתחומי אחריותה הובילה וקידמה שותפות בין המכללה לבין מרחב הנגב המערבי תוך קידום תפיסה חברתית קהילתית וערכית. כיהנה כמ""מ מנכ""לית שותפה של עמותת תוצרת הארץ - ארגון הבונה ומפתח קהילות חיים של צעירים בפריפריה הגיאו-חברתית של ישראל. כיום בנוסף לתפקידה מכהנת כממונה מוסדית על מיזם ""תקווה ישראלית באקדמיה"" ואחראית על נושאי גיוון, שותפות והכלה בספיר."
ארית אנסבכר לנזמן,"יו""ר בת עמי (שירות לאומי) וסופרוייזר הנחיה במעוז","ארית מכהנת כיו""ר פעיל של ארגון 'בת עמי', שירות לאומי ואזרחי. לפני כן, ניהלה במשך חמש שנים את מיזם 'אדוות' במעוז - מיזם משותף למשרד החינוך וארגון מעוז המכשיר את המנהיגות הבכירה במערכת החינוך, ומאיץ שינויים במערכת. ארית הגיעה למעוז לאחר 15 שנה בתפקידי ניהול והנחייה במגזר השלישי. שימשה כסמנכ”ל עמותה לשיקום שמיעה של תינוקות ופעוטות חירשים. במקביל לעבודתה לאורך השנים, היא מייעצת ומלווה מנהלי קהילות, מנהלי בתי”ס וצוותים חינוכיים בתהליכי שינוי. ארית בעלת תואר שני במדיניות ציבורית מהאוני' העברית. היא מתגוררת במושב גיתית, מושב חקלאי בבקעת הירדן בו צומחת קהילה משותפת לחילונים ודתיים. חברת מועצה ופעילה חברתית. נשואה לאריאל, ואם לשישה ילדים נהדרים"
ענת חנה לנקסנר,מנהלת המינהל לשלטון מקומי במשרד הפנים,"ענת חנה מכהנת כממונה מחוז מרכז במשרד הפנים. בתחום המחוז 52 רשויות מאליכין בצפון וגן יבנה בדרום 2.5 מיליון תושבים. לפני כניסתה לתפקיד שימשה כגזברית בעיריית כרמיאל 19 שנה. היא חברה במועצת איגוד הגזברים. בוגרת תואר ראשון בכלכלה ומנהל עסקים מטעם אוני בר אילן (מצטיינת דיקאן) ותואר שני בכלכלה בהצטיינות (עם תזה) מטעם אוני חיפה והטכניון (מסלול משולב). מאמנת מוסמכת מטעם לשכת המאמנים ובוגרת NLP פרקטישינייר, מאמנת אישית ומובילה סדנאות להתפתחות אישית ועסקית בהתנדבות. מובילת תוכן ומרצה בבית הספר הפיננסי ברחובות - ניהול תוכניות עבודה אסטרטגיות מקושרות תקציב ועוד. בנבחרת הדירקטורים לשנת 2022 ומציירת כשנותר זמן ."
נועה לפלר,דירקטור מדיניות ציבורית וקשרי ממשל Google,"נועה היא דירקטור מדיניות ציבורית וקשרי ממשל Google ישראל, תורכיה, רוסיה, מרכז אסיה והקווקז. קודם לכן היא ניהלה את תחום המחקר והפיתוח והייתה ראש המטה ברשות השנייה לטלוויזיה ורדיו. כמו כן היא הייתה ממקימי מרכז המחקר והמידע של הכנסת."
שושנה לרנר,מנהלת אגף יזמות וכלכלה בעיריית בני ברק,"שושנה היא מנהלת אגף יזמות וכלכלה בעיריית בני ברק. במסגרת תפקידה היא מקדמת פרויקטים לפיתוח העיר ולהעלאת חוסנה הפיננסי, יוזמת ומנהלת נכסים מניבים ואחראית על חוקי עזר, קידום אזור התעסוקה בעיר, שיפור רמת השירות לתושב ועל הובלת תוכניות חדשניות ונושאים בעלי אימפקט חברתי. קודם לכן היא שימשה כמשנה למנהל אגף תקציבים בעיריית בני ברק, ובמסגרת זו ניהלה את מערך תקציבי העירייה שוטף ופיתוח בהיקף של כ-2 מיליארד ₪ ואת הבקרה התקציבית הכלל-עירונית המשמרת את הישגי תוכנית ההבראה, שביישומה לקחה חלק מרכזי. בנוסף, היא חברת ועדת היגוי גזברות העירייה וחברת ועדות השקעות, רכש, פיתוח ארגוני ועוד, וחברת הנהלה בפורום המקצועי של הרשויות החרדיות. בעבר כיהנה שושנה כדירקטורית בחכ""ל בית שמש."
